"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ITCB","Ita? CorpBanca","14.65","5004506012.9","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/itcb",
"ITUB","Itau Unibanco Banco Holding SA","15.6","100975352680.8","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/itub",
"JPM","J P Morgan Chase & Co","109.97","377412475255.27","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm",
"JPM^A","J P Morgan Chase & Co","25.21","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm^a",
"JPM^H","J P Morgan Chase & Co","26.44","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/jpm^h",
"JXSB","Jacksonville Bancorp Inc.","33.4","60603197.8","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/jxsb",
"JRVR","James River Group Holdings, Ltd.","35.47","1054860384.23","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/jrvr",
"JHG","Janus Henderson Group plc","33.09","6631439106.42","n/a","2017","Finance","Investment Managers","https://www.nasdaq.com/symbol/jhg",
"JTPY","JetPay Corporation","2.45","38400158.3","n/a","2011","Finance","Business Services","https://www.nasdaq.com/symbol/jtpy",
"JMP","JMP Group LLC","5.05","108376964.25","n/a","2007","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmp",
"JMPB","JMP Group LLC","25.3","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmpb",
"JMPD","JMP Group LLC","24.838","0","n/a","2017","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jmpd",
"JLL","Jones Lang LaSalle Incorporated","174.64","7930241207.28","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/jll",
"KAAC","Kayne Anderson Acquisition Corp.","9.79","461746720.6","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kaac",
"KAACU","Kayne Anderson Acquisition Corp.","10.0539","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kaacu",
"KAACW","Kayne Anderson Acquisition Corp.","0.95","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kaacw",
"KB","KB Financial Group Inc","57.94","23234140124.76","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/kb",
"KBLM","KBL Merger Corp. IV","9.85","146543375","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kblm",
"KBLMR","KBL Merger Corp. IV","0.35","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kblmr",
"KBLMU","KBL Merger Corp. IV","10.4","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kblmu",
"KBLMW","KBL Merger Corp. IV","0.24","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/kblmw",
"KRNY","Kearny Financial","13","1024964980","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/krny",
"KMPA","Kemper Corporation","25.89","0","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kmpa",
"KMPR","Kemper Corporation","57","2936423970","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kmpr",
"KW","Kennedy-Wilson Holdings Inc.","17.4","2627925010.2","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/kw",
"KFFB","Kentucky First Federal Bancorp","8.85","74733957.75","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/kffb",
"KEY","KeyCorp","19.55","20570272096.05","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/key",
"KINS","Kingstone Companies, Inc","16.8","179496727.2","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kins",
"KFS","Kingsway Financial Services, Inc.","4","94643420","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/kfs",
"KNSL","Kinsale Capital Group, Inc.","51.33","1080365711.16","n/a","2016","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/knsl",
"KKR","KKR & Co. L.P.","20.3","9882048018.5","n/a","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/kkr",
