company_Symbol,year,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,growth_rate
PAM,2013,7.358333333,66766.067,nan,-4.45,-23.61,0.39,nan,nan,nan,nan,nan,nan,nan,nan,2.47,28.47,25.57,103.16,1.11,1.09,nan,5.97,nan,61.13,147.36,0.39,0.91221374
PNW,2016,4.866666667,74497.901,100,4.39,6.01,0.78,1.61,5.99,5.4,15.41,nan,nan,nan,159.18,0.24,22.83,15.27,37.95,1.49,1.37,0.32,65.94,nan,5.54,14.45,0.78,0.117994487
PNW,2015,5.266666667,72482.854,100,-39.99,2.01,0.82,1.71,-0.47,0.16,37.59,nan,nan,nan,-70.82,1.5,27.15,16.05,41.36,1.69,1.52,0.38,60.58,nan,6.03,11.39,0.82,0.1816067
PNW,2014,6.175,69710.435,100,-38.03,9.71,0.81,1.25,6.38,5.88,0.86,nan,29.48,38.46,-10.88,3.25,38.28,19.72,20.11,1.94,1.8,nan,73.09,nan,4.99,8.86,0.81,-0.056067926
PNW,2013,7.358333333,66766.067,100,-40.83,7.16,0.81,1.23,4.93,4.53,3.27,nan,-18.58,-18.75,237.03,0.35,36.78,18.35,18.86,2,1.85,nan,81.97,nan,4.45,7.82,0.81,0.290816327
PNW,2012,8.075,64621.02,100,-49.47,8.05,0.81,1.22,6.08,5.29,9.98,nan,9.58,6.67,-43.88,6.74,30.76,17.57,18.17,1.75,1.6,nan,89.25,nan,4.09,9.83,0.81,0.038054139
PNM,2016,4.866666667,74497.901,56.49,20.4,14.32,0.22,3.86,7.02,4.52,-5.29,123.55,625.98,630,nan,44.03,5.84,12.58,73.82,0.47,0.28,1.26,24.87,57.59,14.68,0.29,0.22,0.179300292
PNM,2015,5.266666667,72482.854,50.62,8.64,3.21,0.24,3.63,0.93,2.27,0.22,-58.51,-86.16,-86.21,nan,38.82,6.42,10.8,72.13,0.6,0.36,1.19,23.55,54.05,15.5,0.33,0.24,0.122015047
PNM,2014,6.175,69710.435,49.59,20.87,13.97,0.25,3.39,6.85,5.12,3.45,4.48,15.59,16,nan,32.08,7.42,12.24,70.09,0.61,0.32,0.95,22.53,55.4,16.2,0.35,0.25,0.031724603
PNM,2013,7.358333333,66766.067,51.13,20.67,12.61,0.26,3.29,6.13,4.97,3.39,4.79,-4.75,-4.58,nan,25.08,7.3,9.08,69.14,0.81,0.43,1,23.32,56.19,15.65,0.36,0.26,0.228441128
