"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BBX","BBX Capital Corporation","9.2","953979132.8","n/a","2017","Finance","Real Estate","https://www.nasdaq.com/symbol/bbx",
"BCBP","BCB Bancorp, Inc. (NJ)","15.75","237123810","n/a","2005","Finance","Savings Institutions","https://www.nasdaq.com/symbol/bcbp",
"BSF","Bear State Financial, Inc.","10.27","388326200.08","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bsf",
"BNCL","Beneficial Bancorp, Inc.","15.45","1166369352.9","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/bncl",
"BHLB","Berkshire Hills Bancorp, Inc.","37.4","1696816382.8","n/a","n/a","Finance","Banks","https://www.nasdaq.com/symbol/bhlb",
"BGCA","BGC Partners, Inc.","25.73","0","n/a","2012","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/bgca",
"BGCP","BGC Partners, Inc.","13.16","4030135586.96","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/bgcp",
"BRPA","Big Rock Partners Acquisition Corp.","9.83","88818965","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/brpa",
"BRPAR","Big Rock Partners Acquisition Corp.","0.41","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/brpar",
"BRPAU","Big Rock Partners Acquisition Corp.","10.33","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/brpau",
"BRPAW","Big Rock Partners Acquisition Corp.","0.45","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/brpaw",
"BCAC","Bison Capital Acquisition Corp.","10","79789370","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bcac",
"BCACR","Bison Capital Acquisition Corp.","0.498","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bcacr",
"BCACU","Bison Capital Acquisition Corp.","10.72","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bcacu",
"BCACW","Bison Capital Acquisition Corp.","0.45","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bcacw",
"BRAC","Black Ridge Acquisition Corp.","9.71","42205068.47","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/brac",
"BRACR","Black Ridge Acquisition Corp.","0.31","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bracr",
"BRACU","Black Ridge Acquisition Corp.","10.4599","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bracu",
"BRACW","Black Ridge Acquisition Corp.","0.4","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bracw",
"HAWK","Blackhawk Network Holdings, Inc.","44.6","2533533060.4","n/a","2013","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/hawk",
"BLK","BlackRock, Inc.","519.92","84117040005.68","n/a","1999","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/blk",
"BCOR","Blucora, Inc.","24.25","1132728145.75","n/a","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/bcor",
"BCRH","Blue Capital Reinsurance Holdings Ltd.","11.65","102068317.85","n/a","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/bcrh",
"BHBK","Blue Hills Bancorp, Inc.","20.55","551961142.65","n/a","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/bhbk",
"BXG","Bluegreen Vacations Corporation","21.98","1642663320.9","n/a","2017","Finance","Real Estate","https://www.nasdaq.com/symbol/bxg",
"BOFI","BofI Holding, Inc.","40.24","2514978914.24","n/a","2005","Finance","Savings Institutions","https://www.nasdaq.com/symbol/bofi",
